#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Prov1;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV2;Prov2;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV3;Prov3;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV4;Prov4;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV5;Prov5;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV6;Prov6;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV7;Prov7;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV8;Prov8;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV9;Prov9;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV10;Prov10;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV11;Prov11;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV12;Prov12;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV13;Prov13;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV14;Prov14;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV15;Prov15;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV16;Prov16;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV17;Prov17;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV18;Prov18;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV19;Prov19;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV20;Prov20;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV21;Prov21;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV22;Prov22;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV23;Prov23;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV24;Prov24;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV25;Prov25;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV26;Prov26;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV27;Prov27;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV28;Prov28;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV29;Schpitsbog;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV30;Prov30;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV31;Prov31;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV32;Prov32;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV33;Prov33;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV34;Prov34;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV35;Prov35;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV36;Prov36;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV37;Prov37;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV38;Prov38;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
